whale,Animal_ID,Reproductive_Class,Species,Image,Aircraft,Focal_Length,LaserAlt,BaroAlt,Pixel_Dimension,Launch_Ht,Altitude,Altimeter,TL
67,Mn170204_A_F2_03-mom,mom,Humpback,170204_A_F2_DSC01038.JPG,Alta,50,55.64,62.93,0.00391667,2.05,55.64,laser,12.496744
68,Mn180302_L_F2-03-calf,calf,Humpback,180302_L_F2_DSC08835.JPG,LemHex,50,130*,55.6,0.00391667,1.995,57.595,barometer,8.166971
70,Mn180302_L_F2-02-27-mom,mom,Humpback,180302_L_F2_DSC08846.JPG,LemHex,50,130*,56.1,0.00391667,1.995,58.095,barometer,11.688714
71,Mn170204_A_F3_05-mom,mom,Humpback,170204_A_F3_DSC00855.JPG,Alta,50,59.985,66.66,0.00391667,2.05,59.985,laser,11.853036
72,Mn180227_L_F5-09-44,male,Humpback,180227_L_F5_DSC08638.JPG,LemHex,50,61.45,59.65,0.00391667,2.385,61.45,laser,11.40512
75,Mn180105_A-F1-02-28,pregnant,Humpback,180105_A_F1_DSC05624.JPG,Alta,50,62.7,65.7,0.00391667,2.05,62.7,laser,12.82842
76,Mn170108_A_F3_07-mom2,mom,Humpback,170108_A_F3_DSC01574.JPG,Alta,50,*,65.05,0.00391667,2.05,65.05,barometer,14.54518
77,Mn170108_A_F3_08-calf2,calf,Humpback,170108_A_F3_DSC01518.JPG,Alta,50,*,65.07,0.00391667,2.05,65.07,barometer,9.409122
78,Mn170204_A_F7_18-calf,calf,Humpback,170204_A_F7_DSC01191.JPG,Alta,50,66.68,73.91,0.00391667,2.05,66.68,laser,8.815096
79,Mn181224_L_F1_01-calf1,calf,Humpback,181224_L_F1_DSC02269.JPG,LemHex,35,68.28,67.95,0.00391667,1.995,68.28,laser,8.369177143
80,Mn181224_L_F1_02-mom1,mom,Humpback,181224_L_F1_DSC02206.JPG,LemHex,35,68.79,68.3,0.00391667,1.995,68.79,laser,13.56145714
81,Mn181224_L_F1-05-mom2,mom,Humpback,181224_L_F1_DSC02311.JPG,LemHex,35,69.58,68.9,0.00391667,1.995,69.58,laser,11.70932
82,Mn190326_L_F1-05-calf2,calf,Humpback,190326_L_F2_DSC03774.JPG,LemHex,35,71.37,70.95,0.00391667,1.975,71.37,laser,9.074185714
83,Mn190326_L_F1-04-mom2,mom,Humpback,190326_L_F2_DSC03774.JPG,LemHex,35,71.37,70.95,0.00391667,1.975,71.37,laser,14.82456857
84,Mn190326_L_F1-05-calf2,calf,Humpback,190326_L_F2_DSC03774.JPG,LemHex,35,71.37,70.95,0.00391667,1.975,71.37,laser,9.074185714
85,Mn190326_L_F1-04-mom2,mom,Humpback,190326_L_F2_DSC03774.JPG,LemHex,35,71.37,70.95,0.00391667,1.975,71.37,laser,14.82456857
86,Mn181224_L_F1-04-calf2,calf,Humpback,181224_L_F1_DSC02142.JPG,LemHex,35,72.4,70.6,0.00391667,1.995,72.4,laser,8.2536
