,AID,Species,Image,Region,Year,Aircraft,TL,RB,BaroAlt,Launch_Ht,LaserAlt,Altitude,Focal_Length,Iw,Sw,perDif
36,BB180304_L_F4-12,antarctic minke,180304_L_F4_DSC09289.JPG,WAP,2018,LemHex-44,8.89,NA,33.25,1.995,35.74,35.74,50,6000,23.5,1.385002798
37,BB180304_L_F4-12,antarctic minke,180304_L_F4_DSC09290.JPG,WAP,2018,LemHex-44,8.9,NA,33.25,1.995,35.74,35.74,50,6000,23.5,1.385002798
38,BB180304_L_F4-13,antarctic minke,180304_L_F4_DSC09331-2.JPG,WAP,2018,LemHex-44,NA,NA,39.9,1.995,NA,41.895,50,6000,23.5,NA
39,BB180304_L_F4-13,antarctic minke,180304_L_F4_DSC09331.JPG,WAP,2018,LemHex-44,8.39,NA,39.9,1.995,NA,41.895,50,6000,23.5,NA
40,BB180304_L_F4-13,antarctic minke,180304_L_F4_DSC09333.JPG,WAP,2018,LemHex-44,NA,NA,39.9,1.995,NA,41.895,50,6000,23.5,NA
41,BB180307_L_F7-01,antarctic minke,180307_L_F7_DSC00423.JPG,WAP,2018,LemHex-44,6.89,NA,80.6,2.385,NA,82.985,50,6000,23.5,NA
42,BB180307_L_F7-01,antarctic minke,180307_L_F7_DSC00425.JPG,WAP,2018,LemHex-44,6.72,NA,80.6,2.385,NA,82.985,50,6000,23.5,NA
43,BB180307_L_F7-01,antarctic minke,180307_L_F7_DSC00429.JPG,WAP,2018,LemHex-44,6.61,NA,80.15,2.385,NA,82.535,50,6000,23.5,NA
44,BB180307_L_F7-01,antarctic minke,180307_L_F7_DSC00437.JPG,WAP,2018,LemHex-44,6.69,0.95,80.3,2.385,NA,82.685,50,6000,23.5,NA
45,BB190224_A_F3-01-52,antarctic minke,190224_A_F3_DSC04018.JPG,WAP,2019,Alta 6,4.54,NA,37.75,1.807,NA,39.557,35,6000,23.5,NA
46,BB190224_A_F3-01-52,antarctic minke,190224_A_F3_DSC04019.JPG,WAP,2019,Alta 6,4.53,NA,37.75,1.807,NA,39.557,35,6000,23.5,NA
47,BB190224_A_F3-02-48,antarctic minke,190224_A_F3_DSC04020.JPG,WAP,2019,Alta 6,5.77,NA,38.2,1.807,NA,40.007,35,6000,23.5,NA
48,BB190224_A_F3-02-48,antarctic minke,190224_A_F3_DSC04021.JPG,WAP,2019,Alta 6,5.75,NA,38.2,1.807,NA,40.007,35,6000,23.5,NA
49,BB190224_A_F3-02-48,antarctic minke,190224_A_F3_DSC04022.JPG,WAP,2019,Alta 6,5.75,NA,38.2,1.807,NA,40.007,35,6000,23.5,NA
50,BB190225_A_F3-01-54,antarctic minke,190225_A_F3_DSC04641.JPG,WAP,2019,Alta 6,7.99,1.14,41.34,1.807,35.68,35.68,35,6000,23.5,20.92769058
51,BB190225_A_F3-01-54,antarctic minke,190225_A_F3_DSC04642.JPG,WAP,2019,Alta 6,7.97,1.13,41.34,1.807,35.68,35.68,35,6000,23.5,20.92769058
52,BB190225_A_F3-01-54,antarctic minke,190225_A_F3_DSC04643.JPG,WAP,2019,Alta 6,7.97,NA,41.73,1.807,35.68,35.68,35,6000,23.5,22.02073991
53,BB190225_A_F3-01-54,antarctic minke,190225_A_F3_DSC04644.JPG,WAP,2019,Alta 6,7.91,NA,41.73,1.807,35.68,35.68,35,6000,23.5,22.02073991
54,BB190225_A_F3-02-55,antarctic minke,190225_A_F3_DSC04649.JPG,WAP,2019,Alta 6,8.68,NA,41.72,1.807,35.335,35.335,35,6000,23.5,23.18381208
55,BB190225_A_F3-02-55,antarctic minke,190225_A_F3_DSC04658.JPG,WAP,2019,Alta 6,8.84,NA,41.54,1.807,34.83,34.83,35,6000,23.5,24.45305771
56,BB190225_A_F3-02-55,antarctic minke,190225_A_F3_DSC04660.JPG,WAP,2019,Alta 6,8.86,1.15,40.77,1.807,34.53,34.53,35,6000,23.5,23.30437301
57,BB190226_A_F1-01,antarctic minke,190226_A_F1_DSC05021.JPG,WAP,2019,Alta 6,9.46,1.11,29.79,1.807,NA,31.597,35,6000,23.5,NA
58,BB190226_A_F1-01,antarctic minke,190226_A_F1_DSC05025.JPG,WAP,2019,Alta 6,9.39,NA,28.66,1.807,NA,30.467,35,6000,23.5,NA
59,BB190226_A_F1-01,antarctic minke,190226_A_F1_DSC05029.JPG,WAP,2019,Alta 6,9.16,1.04,24.45,1.807,NA,26.257,35,6000,23.5,NA
60,BB190226_A_F2-02-56&18,antarctic minke,190226_A_F2_DSC05065.JPG,WAP,2019,Alta 6,6.54,1.02,52.32,1.807,43.59,43.59,35,6000,23.5,24.17297545
61,BB190226_A_F2-02-56&18,antarctic minke,190301_A_F1_DSC06471.JPG,WAP,2019,Alta 6,6.52,NA,35.83,1.807,32.64,32.64,35,6000,23.5,15.30943627
62,BB190226_A_F3-03-53&18,antarctic minke,190226_A_F3_DSC05403.JPG,WAP,2019,Alta 6,6.71,NA,23.25,1.807,18.94,18.94,35,6000,23.5,32.2967265
63,BB190226_A_F3-03-53&18,antarctic minke,190226_A_F3_DSC05443.JPG,WAP,2019,Alta 6,6.63,0.77,27.05,1.807,21.82,21.82,35,6000,23.5,32.25022915
